MCU;CANAL;SEGMENTO;REC_JAN;REC_FEV;REC_MAR;REC_ABR;REC_MAI;REC_JUN;REC_JUL;REC_AGO;REC_SET;REC_OUT;REC_NOV;REC_DEZ;REC_ACU;META_JAN;META_FEV;META_MAR;META_ABR;META_MAI;META_JUN;META_JUL;META_AGO;META_SET;META_OUT;META_NOV;META_DEZ;META_ACU;ANT_JAN;ANT_FEV;ANT_MAR;ANT_ABR;ANT_MAI;ANT_JUN;ANT_JUL;ANT_AGO;ANT_SET;ANT_OUT;ANT_NOV;ANT_DEZ;ANT_ACU
14468;A FATURAR;ENCOMENDA;1308,27001;1069,440011;1446,320004;447,5600033;77,34999847;0;0;0;0;0;0;0;4348,940026;2393,980002;2571,229997;2792,99;3330,78;1054,458854;0;0;0;0;0;0;0;12143,43885;1208,980003;1453,760006;1602,410007;2077,599987;714,8500023;0;0;0;0;0;0;0;7057,600006
14468;A FATURAR;INTERNACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14468;A FATURAR;MENSAGEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,710000019;0;0;0;0;0;0;0;0;0;9,710000019;0;0;11,89999962;0;0;0;0;0;0;0;0;0;11,89999962
14468;À VISTA;CONVENIÊNCIA;1344,549988;975,8899896;746,4399998;1171,029991;502,6599928;0;0;0;0;0;0;0;4740,569961;2195,511936;1923,176958;2443,86445;2058,973246;1006,682911;0;0;0;0;0;0;0;9628,209502;1022,280001;872,9699897;953,8699906;1014,449998;363,5699966;0;0;0;0;0;0;0;4227,139976
14468;À VISTA;ENCOMENDA;9764,910063;6652,490005;8023,52002;7880,94006;1650,440012;0;0;0;0;0;0;0;33972,30016;4800,49999;4419,81;5572,109989;4446,290004;2097,868083;0;0;0;0;0;0;0;21336,57807;5702,730019;7069,059996;9660,240002;9090,199959;2636,620045;0;0;0;0;0;0;0;34158,85002
14468;À VISTA;INTERNACIONAL;0;212,3000031;0;489,3500061;0;0;0;0;0;0;0;0;701,6500092;828,83;798,2999992;1042,669999;838,2800017;380,7862035;0;0;0;0;0;0;0;3888,866203;0;0;0;0;0;0;0;0;0;0;0;0;0
14468;À VISTA;MARKETING;30,90000057;20;0;12,19999981;0;0;0;0;0;0;0;0;63,10000038;198,2600002;175,6600005;212,12;175,1599998;74,6898203;0;0;0;0;0;0;0;835,8898209;230,0500011;152,3499994;106,2599993;73,07000065;68,17000103;0;0;0;0;0;0;0;629,9000015
14468;À VISTA;MENSAGEM;1068,449993;1311,09;1134,049998;1417,899993;526,9099956;0;0;0;0;0;0;0;5458,39998;1824,61;1673,44;2086,51;1647,790002;741,8771609;0;0;0;0;0;0;0;7974,227163;991,4299964;951,3999961;2455,779997;1093,290004;505,72001;0;0;0;0;0;0;0;5997,620004
14468;À VISTA;OUTROS;0;0;0;19,79999971;33,6600008;0;0;0;0;0;0;0;53,46000051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14472;A FATURAR;CONVENIÊNCIA;177,9999981;361,0999994;7,599999905;194,799993;12,04999971;0;0;0;0;0;0;0;753,5499902;0;0;0;5,389999995;0;0;0;0;0;0;0;0;5,389999995;0;0;7,599999905;13,45000029;0;0;0;0;0;0;0;0;21,05000019
