Sigla;Descrição;Categoria;Tipo Concoord
JN; MALA DIRETA BASICA/IMPRESSO NAO URGENTE; MALA D BÁSICA/IMPRESS NÃO URG;OUTROS
JO; REGISTRADO PRIORITÁRIO; REGISTRADO ESPECIAL;OUTROS
JP; OBJETO RECEITA FEDERAL (EXCLUSIVO); REGISTRADO ESPECIAL;OUTROS
JQ; REMESSA ECONÔMICA C/AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JR; REGISTRADO PRIORITÁRIO; REGISTRADO ESPECIAL;OUTROS
JS; REGISTRADO LÓGICO; REGISTRADO LÓGICO;OUTROS
JT; REGISTRADO URGENTE; REGISTRADO ESPECIAL;OUTROS
JU; ETIQUETA FIS REGIST URG; REGISTRADO ESPECIAL;OUTROS
JV; REMESSA ECONÔMICA C/AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JW; CARTA COMERCIAL A FATURAR (5 DIAS); REGISTRADO CONVENCIONAL;OUTROS
JX; CARTA CML A FAT 10 DIAS; REGISTRADO CONVENCIONAL;OUTROS
JY; REMESSA ECONOMICA (5 DIAS); REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JZ; REMESSA ECONOMICA 10 DIAS; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
KL; CORREIOS PACKET EXPRESS; PACKET EXPRESS IMPORTAÇÃO;OUTROS
LA; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LB; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LC; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LD; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LE; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LF; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LG; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LH; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LI; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LJ; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
